epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.1314,0.97486,3.6588,1.10857,0,0,0,0,0,39.375,0,3e-05,3e-05,3e-05
2,1.82904,0.81671,3.51199,1.03101,0,0,0,0,0,39.375,0,6.96535e-05,6.96535e-05,6.96535e-05
3,2.65517,0.61833,3.38067,0.9183,0,0,0,0,0,39.375,0,0.000108911,0.000108911,0.000108911
4,3.50167,0.50718,3.01567,0.86794,0,0,0,0,0,39.375,0,0.000147772,0.000147772,0.000147772
5,4.22488,0.51084,2.67502,0.86931,0,0,0,0,0,39.25,0,0.000186238,0.000186238,0.000186238
6,4.93288,0.53078,2.54741,0.88328,0,0,0,0,0,38.8125,0,0.000224308,0.000224308,0.000224308
7,5.64917,0.49542,2.23764,0.86116,0,0,0,0,0,37.7812,0,0.000261981,0.000261981,0.000261981
8,6.36454,0.52181,1.89952,0.86809,0,0,0,0,0,36.6562,0,0.000299258,0.000299258,0.000299258
9,7.19388,0.52158,1.63843,0.86641,0,0,0,0,0,35.4375,0,0.00033614,0.00033614,0.00033614
10,8.37332,0.47958,1.38098,0.86344,0,0,0,0,0,34.625,0,0.000372625,0.000372625,0.000372625
11,9.17085,0.51111,1.24651,0.88107,0,0,0,0,0,32.9062,0,0.000408715,0.000408715,0.000408715
12,9.90158,0.52166,1.14849,0.86393,0,0,0,0,0,30.9062,0,0.000444408,0.000444408,0.000444408
13,10.6493,0.51555,1.07593,0.87937,0,0,0,0,0,29.5469,0,0.000479706,0.000479706,0.000479706
14,11.3867,0.47104,0.93905,0.87238,0,0,0,0,0,28.75,0,0.000514608,0.000514608,0.000514608
15,12.147,0.46709,0.86824,0.87223,0,0,0,0,0,28.75,0,0.000549113,0.000549113,0.000549113
16,12.935,0.44418,0.80226,0.85444,0,0,0,0,0,30.2969,0,0.000583223,0.000583223,0.000583223
17,13.6945,0.46636,0.78748,0.86576,0,0,0,0,0,31.9688,0,0.000616936,0.000616936,0.000616936
18,14.5934,0.4541,0.72979,0.85817,0,0,0,0,0,38.0625,0,0.000650254,0.000650254,0.000650254
19,15.3482,0.44101,0.73097,0.8791,0,0,0,0,0,42.9062,0,0.000683175,0.000683175,0.000683175
20,16.0484,0.422,0.69571,0.85547,0,0,0,0,0,46.375,0,0.000715701,0.000715701,0.000715701
21,16.8072,0.42205,0.65844,0.8475,0,0,0,0,0,51.9375,0,0.00074783,0.00074783,0.00074783
22,17.545,0.41981,0.62665,0.8482,0,0,0,0,0,54.4062,0,0.000779563,0.000779563,0.000779563
23,18.276,0.40958,0.59096,0.82964,0,0,0,0,0,57.75,0,0.000810901,0.000810901,0.000810901
24,18.9776,0.3957,0.62318,0.85197,0,0,0,0,0,61.2812,0,0.000841842,0.000841842,0.000841842
25,19.6865,0.43782,0.62266,0.85359,0,0,0,0,0,65.5625,0,0.000872388,0.000872388,0.000872388
26,20.392,0.36385,0.56147,0.83107,0,0,0,0,0,64.625,0,0.00087625,0.00087625,0.00087625
27,21.1055,0.39738,0.57536,0.8357,0,0,0,0,0,86.25,0,0.0008713,0.0008713,0.0008713
28,21.8215,0.38333,0.56733,0.83238,0,0,0,0,0,131.5,0,0.00086635,0.00086635,0.00086635
29,22.5288,0.38083,0.53992,0.83402,0,0,0,0,0,187.25,0,0.0008614,0.0008614,0.0008614
30,23.2243,0.38833,0.54195,0.84113,0,0,0,0,0,237.375,0,0.00085645,0.00085645,0.00085645
